,platformId,gameId,champion,queue,season,timestamp,role,lane
3,KR,4458160280,111,420,13,1592586273220,DUO_SUPPORT,BOTTOM
4,KR,4454413185,432,420,13,1592411073695,DUO_SUPPORT,BOTTOM
0,KR,4459715961,8,420,13,1592656934142,SOLO,TOP
1,KR,4459760130,8,420,13,1592655394212,DUO,NONE
2,KR,4459690353,8,420,13,1592652528433,SOLO,TOP
3,KR,4459533952,8,420,13,1592650133593,SOLO,TOP
4,KR,4459458466,8,420,13,1592648224908,DUO,TOP
0,KR,4460643695,412,420,13,1592675038981,DUO_SUPPORT,BOTTOM
1,KR,4460564402,350,420,13,1592671092064,DUO_SUPPORT,BOTTOM
2,KR,4460371468,555,420,13,1592664437555,DUO_SUPPORT,BOTTOM
3,KR,4460261584,201,420,13,1592661608264,DUO_SUPPORT,BOTTOM
4,KR,4459874171,555,420,13,1592659389574,DUO_SUPPORT,NONE
0,KR,4461012005,111,420,13,1592711833600,SOLO,BOTTOM
1,KR,4455389428,43,420,13,1592481158784,DUO_SUPPORT,MID
2,KR,4453648808,432,420,13,1592395202176,DUO_SUPPORT,BOTTOM
3,KR,4451807586,412,420,13,1592309918121,DUO_SUPPORT,BOTTOM
4,KR,4450041103,89,420,13,1592223809867,DUO_SUPPORT,BOTTOM
0,KR,4460488897,875,420,13,1592669119879,DUO_SUPPORT,NONE
1,KR,4457562267,164,420,13,1592568469541,SOLO,TOP
2,KR,4439694041,57,420,13,1591801428022,DUO,TOP
3,KR,4439595475,266,420,13,1591798518339,SOLO,MID
4,KR,4439572081,8,420,13,1591797446536,DUO,NONE
0,KR,4458247938,875,430,13,1592604190767,DUO,NONE
1,KR,4458251678,235,420,13,1592593500556,DUO_SUPPORT,BOTTOM
2,KR,4458106277,429,430,13,1592588794751,DUO_SUPPORT,NONE
3,KR,4458023475,57,450,13,1592583339575,DUO_SUPPORT,NONE
4,KR,4454548737,523,430,13,1592428738296,DUO_CARRY,BOTTOM
0,KR,4460467216,412,420,13,1592668519951,DUO_SUPPORT,BOTTOM
1,KR,4460411822,111,420,13,1592666715052,DUO_SUPPORT,NONE
2,KR,4446416940,412,420,13,1592072728021,DUO_SUPPORT,BOTTOM
3,KR,4446423386,223,420,13,1592070701664,DUO_SUPPORT,BOTTOM
4,KR,4446357418,111,420,13,1592068199906,DUO_SUPPORT,BOTTOM
0,KR,4462309117,30,420,13,1592745607894,NONE,JUNGLE
1,KR,4462287791,30,420,13,1592742791041,SOLO,TOP
2,KR,4459321934,30,420,13,1592642427779,DUO,NONE
3,KR,4459275142,30,420,13,1592640442244,DUO,TOP
4,KR,4459016381,30,420,13,1592634299039,SOLO,MID
0,KR,4459383265,429,420,13,1592643109926,DUO,BOTTOM
1,KR,4457240655,412,420,13,1592560592407,DUO_SUPPORT,NONE
2,KR,4455270416,81,420,13,1592474302913,DUO,NONE
3,KR,4451546755,110,420,13,1592302476316,DUO_CARRY,BOTTOM
4,KR,4451504793,110,420,13,1592301224599,DUO_SUPPORT,NONE
0,KR,4462314589,238,420,13,1592744619215,SOLO,MID
1,KR,4462232179,238,420,13,1592741097759,SOLO,MID
2,KR,4462133809,238,420,13,1592738599585,SOLO,MID
3,KR,4461761884,238,420,13,1592728180151,SOLO,MID
4,KR,4461477159,238,420,13,1592726862047,DUO_SUPPORT,NONE
0,KR,4462329292,68,420,13,1592746051130,DUO,TOP
1,KR,4462305017,4,420,13,1592744396794,SOLO,MID
2,KR,4462119274,68,420,13,1592740136937,DUO_SUPPORT,NONE
3,KR,4461437841,142,420,13,1592726623036,DUO,TOP
4,KR,4461470232,142,420,13,1592724767617,SOLO,MID
0,KR,4461979858,7,420,13,1592734179879,SOLO,MID
1,KR,4461930288,81,420,13,1592730986923,DUO_SUPPORT,NONE
2,KR,4461833702,523,420,13,1592728909311,DUO_CARRY,BOTTOM
3,KR,4461185572,145,420,13,1592717278401,DUO,NONE
4,KR,4460643695,145,420,13,1592675038981,DUO_CARRY,BOTTOM
0,KR,4462346686,81,420,13,1592745338801,DUO_CARRY,BOTTOM
1,KR,4462269089,15,420,13,1592743146917,DUO_CARRY,BOTTOM
2,KR,4461526289,145,420,13,1592726629016,DUO_SUPPORT,NONE
3,KR,4461339605,22,420,13,1592724664476,DUO_CARRY,BOTTOM
4,KR,4461274509,22,420,13,1592720130426,DUO_SUPPORT,NONE
0,KR,4461148142,81,420,13,1592718100499,DUO_CARRY,BOTTOM
1,KR,4461142712,104,420,13,1592716188351,NONE,JUNGLE
2,KR,4461033630,48,420,13,1592712629240,DUO_SUPPORT,NONE
3,KR,4460927107,48,420,13,1592709523056,NONE,JUNGLE
4,KR,4460993058,104,420,13,1592707497787,NONE,JUNGLE
0,KR,4462491106,111,420,13,1592746817421,DUO_SUPPORT,BOTTOM
1,KR,4462305017,15,420,13,1592744396794,DUO_CARRY,BOTTOM
2,KR,4462216913,81,420,13,1592742404418,DUO,BOTTOM
3,KR,4462144212,110,420,13,1592738737783,DUO_CARRY,BOTTOM
4,KR,4461977457,429,420,13,1592733454761,SOLO,BOTTOM
0,KR,4462275547,64,430,13,1592742015940,NONE,JUNGLE
1,KR,4462148685,28,430,13,1592739945981,NONE,JUNGLE
2,KR,4462133289,350,430,13,1592738319050,DUO_SUPPORT,BOTTOM
3,KR,4462067001,429,430,13,1592736353112,SOLO,TOP
4,KR,4462002366,246,430,13,1592734355250,SOLO,MID
0,KR,4462338148,412,420,13,1592745780975,DUO_SUPPORT,NONE
1,KR,4457857853,350,420,13,1592578539303,DUO_SUPPORT,BOTTOM
2,KR,4457797973,3,420,13,1592576037235,DUO_SUPPORT,BOTTOM
3,KR,4457782033,96,450,13,1592574188109,DUO_SUPPORT,NONE
4,KR,4457606544,432,420,13,1592572527461,DUO_SUPPORT,BOTTOM
0,KR,4459531779,412,420,13,1592649355956,DUO_SUPPORT,BOTTOM
1,KR,4459464737,412,420,13,1592646923588,DUO_SUPPORT,BOTTOM
2,KR,4458129980,412,420,13,1592591675985,DUO_SUPPORT,BOTTOM
3,KR,4458115501,412,420,13,1592588608076,DUO_SUPPORT,BOTTOM
4,KR,4458142089,412,420,13,1592587073913,DUO_SUPPORT,NONE
0,KR,4460470527,106,420,13,1592666461439,SOLO,TOP
1,KR,4458146996,57,420,13,1592589785298,DUO_SUPPORT,BOTTOM
2,KR,4458152017,106,420,13,1592587063254,SOLO,TOP
3,KR,4458036430,106,420,13,1592584563010,SOLO,TOP
4,KR,4457959848,106,420,13,1592582308792,SOLO,TOP
0,KR,4462189103,432,420,13,1592740229282,DUO_SUPPORT,NONE
1,KR,4462102316,432,420,13,1592737739823,DUO_SUPPORT,BOTTOM
2,KR,4462014050,163,420,13,1592735421479,DUO_SUPPORT,MID
3,KR,4461925089,235,420,13,1592732549096,DUO_SUPPORT,BOTTOM
4,KR,4461930288,875,420,13,1592730986923,DUO_SUPPORT,NONE
0,KR,4462382334,15,450,13,1592743973236,DUO_SUPPORT,TOP
1,KR,4462217448,84,450,13,1592742416349,DUO_SUPPORT,NONE
2,KR,4462243720,102,450,13,1592741422301,DUO_SUPPORT,NONE
3,KR,4462135449,429,420,13,1592739084218,DUO_CARRY,BOTTOM
4,KR,4462069639,523,420,13,1592737289967,DUO_CARRY,BOTTOM
0,KR,4461953531,3,450,13,1592731924785,DUO_SUPPORT,NONE
1,KR,4461890628,106,450,13,1592730495217,DUO,MID
2,KR,4461756262,235,450,13,1592729083304,DUO_SUPPORT,TOP
3,KR,4461760073,122,450,13,1592727485950,DUO_SUPPORT,TOP
4,KR,4461494639,98,450,13,1592725960974,DUO_SUPPORT,NONE
