,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
123,GRANDMASTER,vqRFMiPAdE_qavzacuPRinNKBCLLHitHPCB6mph2z5CCspA,크세로,495,269,246,False,False,False,True
124,GRANDMASTER,_W9hwdFrU4HIhSJF-NJtfWArmG40Rox_FTWxmsj9oQ3LGvqqmBPFEm-qRA,shi le zhl,599,274,230,False,False,True,False
125,GRANDMASTER,7EUgnAtaWK85zWWoC00wR-fGsZpS_PlSF1th6M0-dILNgg,킬러톱,477,509,482,False,False,False,True
126,GRANDMASTER,cB8u1iYQ6wXRtrqNLbjHRsmLv2KrMERXh3535KX9Y9CVVl8,Rose박채영i,560,554,487,True,False,False,True
127,GRANDMASTER,Us19Nef8EKLU_oiLLkWJdfW5wX2qvXv6FMtov1d4s8uLtKM,담원기아김동하I,429,120,85,False,False,False,True
128,GRANDMASTER,uZlVL0Y4m2zBGVSOYQwXhNtwSHEyjHRivLgMsTiijweq9IsElEz9reNc2g,Chotoimayman,584,138,98,True,False,False,False
129,GRANDMASTER,Ot1AZjHJEfAlLjdlqVKZjQSQ6xd1T5dt7H87C2XLltarX6o,MWMWMMWMWWWWMMWM,363,103,89,True,False,False,False
130,GRANDMASTER,UEsKUQE6dD7iKeiq8-72pvwSQuBkAkz2nMyN5UqOwA_DEWH913pjWYc2Rw,New ADC,527,114,78,False,False,False,False
131,GRANDMASTER,Me-k98SZRtKB0-LFrOyFXybpiKRayAj3QJa3lPNgYp8byg,으 화나썽,579,317,276,True,False,False,False
132,GRANDMASTER,q2x2cyW-j6wqzbsfwoTt8-f8VSJ8UgkerJ95DeaWy5QcU48,basyy,475,165,139,False,False,False,False
133,GRANDMASTER,0Uu7eVFqUoTl2f9ptYJPGMSZqn3h2OZuPJ8QODDLap54VUo,Lia the Cat,480,286,234,True,False,False,False
134,GRANDMASTER,C7Qu7WSwA7EM9lv4Tq3KFgLd3qSwmwLLHdBelcm66lemRHU,사랑하지 않아,484,154,129,True,False,False,False
135,GRANDMASTER,T-A3TjFMoMgMMqw2jKc9teb9KnRXrePjhUsGFABdjbTWleM,sadasdsadsad,595,331,305,False,False,True,False
136,GRANDMASTER,0uFdIYbXdL0L-1tykDa1XV_RGjbEElgGvX-XKpU1tI7l-YQ,비전 검,386,300,275,True,False,False,False
137,GRANDMASTER,nkK8EgPdcYFzR4rd5Dwda-gvLDoUXmT3Zf5x2vOYb3gSBdo,수 직,448,205,175,False,False,False,False
138,GRANDMASTER,MvZFdE_DFYPlORr53YGmBlkzcTh80rTCQ0WGezeTwojI3qbh4xgrGLrUzA,YouShouldKnowMe,498,183,132,False,False,True,False
139,GRANDMASTER,-2_FWjCfTLrhUcIjBYiKTikYZe3dhht0-zE-FsgR-e0w2Uo,장트린,372,306,282,False,False,True,False
140,GRANDMASTER,0yT_CMfkBVs660llwMD2sf0l4og8hm3DAJ2IxZcLVsegGwcWdgJheLQWbg,Kill My Young1,500,195,157,False,False,False,False
141,GRANDMASTER,4dPCaQ4kZ31wQWJGHKqSMkDF1WdxRvFWoGrxx0vp37XV_SbBY_1qT-NUeg,Augensternn,666,327,282,False,False,True,False
142,GRANDMASTER,gcOM15cr3KhXQdY9tiKkamNp6gW6ijEobQ-S94gvX80Nt8E_,DK Lucid,346,548,522,True,False,False,False
143,GRANDMASTER,50wOf7lKyKvmEDwICM2G0kFn_Y60ohpuEDH82mLmrglGzPM,유씅진,453,397,369,True,False,False,False
144,GRANDMASTER,JlEOuX5FJ2T_O-r0ZXpeGHWnZDAM7aMhAp1cIR8-uyQ1iNU,시즌2의 백찐현,407,407,371,False,False,False,False
145,GRANDMASTER,lQna8kAjJBbRVweojZIT0xKTnspFij58wYikI_-X6xP86dR_8Ug7FkSGVA,ldmzzz,439,312,267,False,False,True,False
146,GRANDMASTER,_6BaB9mKTuxXcgMntgjyJnY-ToSWdk3i48tY1Ays-0PEai_XVCxi9Hkxkw,tian qian,414,443,412,True,False,False,True
147,GRANDMASTER,sQNCxSHZw-APRS6elg4ID5wBPk7u0o1UhkiFMbNQc67zzXCQGWNDf8EKFg,페이커코딱지팜,447,267,228,True,False,False,False
148,GRANDMASTER,CLbEx_W03W2lGpkk4PrJ-kv8DdX2oPsM_olPlXc3_qRBG28,아정글맘에안드노,410,153,121,False,False,False,False
149,GRANDMASTER,UDcOJCRsR82EFTbYWMOxX8C4PpTEWusR-qF9CqIS46ktRl4,스물다섯번째밤,618,280,252,False,False,True,False
150,GRANDMASTER,3MIKQpGfiUkPv1aETpwYQG0PQRQK7mlzR77Z53hCggPhrA,북쪽의 괴물1,610,247,220,False,False,False,False
151,GRANDMASTER,aN_5dYPpGJETTk1OpadVj0CgRPTffSfgQ5kCJ9Z1EwxVULAu5rNUy5LTmA,The fish,459,661,635,False,False,True,False
152,GRANDMASTER,gPfqC7pb4rQf-Ad5mPhgG45oHGkNujwpLnAUETgyS7AhLUg4vk_jspKddA,The Mao,425,366,325,True,False,False,False
153,GRANDMASTER,xmfnn99lvsgH2JYUGvpTsYxkgVKxAgqQDo6QZevQddndEA,엉덩국 갱승제로,614,447,421,False,False,False,False
154,GRANDMASTER,azPKs9GU6eZEke5u3TDWWhBqR4bQjeW_NOw39MZk6XLtdA,asm1,521,311,271,True,False,False,False
155,GRANDMASTER,AgYnRc0UxOLpm9zCNeMLoY8jBn_Yu9u-f6UewSETTIhBKBo,ebalol,544,276,237,True,False,False,False
156,GRANDMASTER,8oqS_jut9k2F5c2lZ4ZNprTw9hiMEDZqM85FegauRMPg_Ck,allday think you,373,515,485,False,False,True,False
157,GRANDMASTER,TeDpWNyWRrza1ELWAp5PQn74F8uPnmICM6oTizJuWeo_TFN0j2ihAj8_mA,서성거리는개,375,196,179,True,False,False,False
158,GRANDMASTER,L9HhMyPBAfL3VLeMLMa4zABta5XAfR19WyF8sDmdQGIIDUO6nb4K33z5OA,도구중에제일잘침,544,342,289,True,False,False,True
159,GRANDMASTER,8DbQ47sG7_z3kxddql71CP2caHuRgD898igpPphgEhnvCOfUoQBwCNSMXA,111112222222222,539,316,269,False,False,True,False
160,GRANDMASTER,AKRaGWHBk6kFN1jNnLXw1F_psCo5dWx0v-w73tnWNuRU6OQ,제드안합니다,652,403,364,False,False,True,False
161,GRANDMASTER,RW6wuQ9mvPLcoIOZq2CA8WELP9aZrgzMVA0D78s-_3uZBv8,     니체의 철학,410,235,209,False,False,True,False
162,GRANDMASTER,btLJqzthZDwRzh8tfqcsyl36IkV37AhX87JhK4Ml_rjDYhM,AD JJoon,428,498,476,True,False,False,False
163,GRANDMASTER,d8A9rJ1qwbJoqk3j4rBCmkskJvwenQRPgRHveMAw0W7U7dc,주제도모르는벌레,476,445,442,False,False,False,True
164,GRANDMASTER,7o7flX8FJP7lmaL5JBoKQE7aYoYc_ySFD1afK7BHmGmXOA,2게임1분석,467,396,365,False,False,False,True
165,GRANDMASTER,_N8noANF1eVxIalw8vfyXt8lTi3DyF-zmMZrDVLk9i5zxQ,can win sry bro1,535,533,515,True,False,False,False
166,GRANDMASTER,t8K6crRGBWLyAf390zegu9Y_IjszeNyyT6_MflJXU4OTr-M,Gen G ToongE,706,726,692,True,False,False,False
167,GRANDMASTER,6j14ZkHPK6QN6X9RJwpUMtqQ5bqC-1H4TIdR3rp6WlY31EA,Morr1s,506,248,212,False,False,True,True
168,GRANDMASTER,e5uRQ1LmXrLamQv70H13uTGh1xrfoxmxkv5WF0ziM18Jiy0,FATE,472,265,228,False,False,False,False
169,GRANDMASTER,69DnrLgBJETqLHxAiWhupQdrXd1cB9Y2n5gxojvngc4lshs,uchY,391,220,191,False,False,False,False
170,GRANDMASTER,vcA12AhJD8fyNqg03v-RphbfB7wifYtFA9hm50ePBS9baQ,크으으윽,420,231,199,False,False,False,False
171,GRANDMASTER,yZPTTCubeiN90QV_nkp9QKqmXJMmxnYudcASQGVFMkFO5Io,돈많이벌거야,378,183,157,True,False,False,False
172,GRANDMASTER,r7gb6gVdCawTgRVjK-MJUI5r--NKTNBwbM2v_55mKQHfcoc,나락 캐리,414,147,112,False,False,True,True
173,GRANDMASTER,s-VQkUbtfPUZ0t9Ve2b89C6Zhcpmvhqax5ZkmiUaHugSh6U,huizaijianma,395,489,462,False,False,True,False
174,GRANDMASTER,LFIOomOYWb2kQZ4neD-LUICmNDabjU32ym5klZ1MsSplONE,중학생 챌린저,490,288,227,True,False,False,True
175,GRANDMASTER,B4hDHSTQZLfFgL0gl151bsaIg96m2TasGw-dm3TH37rAI95v6HKQdR9XEA,FurryLover Nana7,396,524,488,True,False,False,False
176,GRANDMASTER,baiCKZil5PAEpAo2Rj2kbq-4NvKcan2mHOxUqGkgykU-Ia4,펜니르,415,242,225,False,False,True,False
177,GRANDMASTER,hUmfpFd_g4fBqikUjUcB_QNYHCTwe3DtNq1J70zBguUhhJhK,아자 아자 아자,551,751,661,False,False,False,False
178,GRANDMASTER,3TjkJ8pQ_ufgbsr0WhotnQ28raHZbIql7OAsDjxDizmM5Rs,Water monkey,363,334,233,False,False,False,False
179,GRANDMASTER,fAvZddf7tWpDVE5jeN233umWNk7RtCt_YA3_n9kN7SEAUEQ,heeseong,709,135,104,False,False,False,False
180,GRANDMASTER,Q5TKIWOKHamse16NTMX9MaIzkdQEUQkVsKk44bMiVS__KFJFe6LV9MIw9w,bai gei,503,307,279,True,False,False,False
181,GRANDMASTER,piXgnzuT__d2m3kF-c-eSxtArBf8wtmkcRKwn5gibBJz-2g0rWpn_3dzSA,Iselina,391,397,368,False,False,True,False
182,GRANDMASTER,spKsguGKiu0cXRIai8iw7QflFxvQ1sH9Br4PA0iDkufeFB-nZHqj7QU7pQ,미얀미얀미얀,431,322,285,False,False,False,False
183,GRANDMASTER,qKkvk9VlOeDQ-LgViEcLg7bHbw8w7SuB5W1HgqWDBqi92zwmE-i_YihMDg,Jacquely,409,225,170,False,False,False,False
184,GRANDMASTER,9El2qTIwuMW0sA0Gl-0ugDB4Zl0wnw0SluQEPuknjXaBPPA,전설이 될 남자,501,814,790,True,False,False,False
185,GRANDMASTER,GRvHKO7jNu5Zzp_HLaj00_6NKx4WBVOQxALAveQ1If1Ctkk,죽다 고요히,698,192,150,False,False,False,False
186,GRANDMASTER,2eE1qwlj4vUnwC4G_iEWguTGRSplLLQy8q86sY4xcMY6TCY,i am a suporter,505,334,304,True,False,False,False
187,GRANDMASTER,3XhB65lzyf3DDXjQ4Ps5vOx_nB6ytMGtCrM1r4wU1RPmcdpFFz2P5EtG5Q,1874,479,125,87,False,False,False,False
188,GRANDMASTER,x5LYI8HTiMu3OhODn_Q6n_aZXw85uEjzSAbRYuQe8MWlBdWawvtpmWItcQ,clearlove77,457,301,262,True,False,False,False
189,GRANDMASTER,_6G4vvJ39DmAN1EX-kTaVHSsCSDIY4qspIuqtmYvJLw35FGs09fPCYWDqA,징징이는징징징징,617,288,237,False,False,False,False
190,GRANDMASTER,Y7k5o_ANMft5N0Gko_p4DoYbqv8fbUxrbRvFFJdMTmi0PbrwpVJFsQHsMA,qwertyuioasd,664,207,159,False,False,True,True
191,GRANDMASTER,2TcaYgZGdJmYHX-SY1D7vTl8vdhBjhD1TfjMFO_-xldfeg9lt8szUtmmlA,The great devil,551,313,273,False,False,False,False
192,GRANDMASTER,goqZ0thcknMjkQDkdERvAfFx_b8sgSwoQXi0-Qq3X_LVuJw,게임을 끄기전에,539,145,107,True,False,False,False
193,GRANDMASTER,DiyEimyX1TS9fbxqN4xJJhmjyX0u5Ql0ZGU1dPnsUW-6YNeZGgAXNh6NbA,sakula,566,160,107,False,False,True,False
194,GRANDMASTER,3eg-JiDmtg-BIeP4dy3njb1O6TktdWMvXtojsFMdbOPFNho,X1LANX1LANX1LAN,590,359,337,False,False,False,False
195,GRANDMASTER,TFyfV9fLjgy00pXwzHaGPyV-iqZo4knew3E0yqEXsPAkf61B,나는쓰레기1,420,705,653,False,False,True,False
196,GRANDMASTER,mdJzO80fbkgZBicOtXMgqvslE1FfpHPpVXR38IWnwdkok_UQ4OgHUdAx5Q,back to the past,365,120,79,False,False,True,False
197,GRANDMASTER,aOqczEJUjMU1Y7wZytLR1zd5Zo-JOZjqUXrlTLU1l5TgBUadbXrszHBqWw,Tian Xin Sup,400,81,43,False,False,True,False
198,GRANDMASTER,IxYg738XlkHbwW50_jrxwFVeLuIHEtukpbPcApIzFs1HcfFazyL2F_tgWQ,Airbus A320neo,499,206,152,False,False,False,True
199,GRANDMASTER,oR0Spnnho7fybE81OqqpPvMDj5uQxYICSf8YmReOI7zRp34,ruanruantuan,769,250,194,False,False,True,True
